OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
21FLGW_WQX,FL Dept. of Environmental Protection,21FLGW_WQX-Z1UA2410-23F,Field Msr/Obs,Water,Groundwater,2024-12-19,13:25:00,EST,2024-12-19,13:25:00,EST,,,,,,,,STATUS - GROUND WATER,NORTHWEST FLORIDA WATER MANAGEMENT DISTRICT,21FLGW_WQX-65511,,,,,Field Test-Discrete,21FLGW_WQX,Field Testing- Discrete,Miscellaneous (Other),,Dissolved oxygen saturation,,96.8,%,,Final,,Actual,,,,,,,,,,,,,FDEP FT1500,21FLGW_WQX,FDEP FT1500,,,,,,,,,STORET
21FLGW_WQX,FL Dept. of Environmental Protection,21FLGW_WQX-Z1UA2410-23S,Sample-Routine,Water,Groundwater,2024-12-19,13:25:00,EST,2024-12-19,13:25:00,EST,,,,,,,,STATUS - GROUND WATER,NORTHWEST FLORIDA WATER MANAGEMENT DISTRICT,21FLGW_WQX-65511,,,,,Direct Grab,21FLGW_WQX,Direct Grab,Water Bottle,,Chloride,Total,4.8,mg/L,,Final,,Actual,,,,,,,,,,,,,300.0,USEPA,300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,https://www.nemi.gov/methods/method_summary/4680/,E31780,2025-01-03,,Practical Quantitation Limit,.5,mg/L,,STORET
21FLGW_WQX,FL Dept. of Environmental Protection,21FLGW_WQX-Z1UA2410-23F,Field Msr/Obs,Water,Groundwater,2024-12-19,13:25:00,EST,2024-12-19,13:25:00,EST,,,,,,,,STATUS - GROUND WATER,NORTHWEST FLORIDA WATER MANAGEMENT DISTRICT,21FLGW_WQX-65511,,,,,Field Test-Discrete,21FLGW_WQX,Field Testing- Discrete,Miscellaneous (Other),,Dissolved oxygen (DO),,8.56,mg/L,,Final,,Actual,,,,,,,,,,,,,FDEP FT1500,21FLGW_WQX,FDEP FT1500,,,,,,,,,STORET
21FLGW_WQX,FL Dept. of Environmental Protection,21FLGW_WQX-Z1UA2410-23F,Field Msr/Obs,Water,Groundwater,2024-12-19,13:25:00,EST,2024-12-19,13:25:00,EST,,,,,,,,STATUS - GROUND WATER,NORTHWEST FLORIDA WATER MANAGEMENT DISTRICT,21FLGW_WQX-65511,,,,,Field Test-Discrete,21FLGW_WQX,Field Testing- Discrete,Miscellaneous (Other),,Turbidity,,0.38,NTU,,Final,,Actual,,,,,,,,,,,,,FDEP FT1600,21FLGW_WQX,FDEP FT1600,,,,,,,,,STORET
21FLGW_WQX,FL Dept. of Environmental Protection,21FLGW_WQX-Z1UA2410-23S,Sample-Routine,Water,Groundwater,2024-12-19,13:25:00,EST,2024-12-19,13:25:00,EST,,,,,,,,STATUS - GROUND WATER,NORTHWEST FLORIDA WATER MANAGEMENT DISTRICT,21FLGW_WQX-65511,,,,,Direct Grab,21FLGW_WQX,Direct Grab,Water Bottle,,Phosphorus,Total,0.005,mg/L,,Final,,Actual,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,https://www.nemi.gov/methods/method_summary/4823/,E31780,2024-12-27,,Practical Quantitation Limit,.005,mg/L,,STORET
21FLGW_WQX,FL Dept. of Environmental Protection,21FLGW_WQX-Z1UA2410-23S,Sample-Routine,Water,Groundwater,2024-12-19,13:25:00,EST,2024-12-19,13:25:00,EST,,,,,,,,STATUS - GROUND WATER,NORTHWEST FLORIDA WATER MANAGEMENT DISTRICT,21FLGW_WQX-65511,,,,,Direct Grab,21FLGW_WQX,Direct Grab,Water Bottle,,Beryllium,Total,0.010,ug/L,,Final,,Actual,,,,,,**U**,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,E31780,2025-01-02,,Practical Quantitation Limit,.04,ug/L,,STORET
21FLGW_WQX,FL Dept. of Environmental Protection,21FLGW_WQX-Z1UA2410-23S,Sample-Routine,Water,Groundwater,2024-12-19,13:25:00,EST,2024-12-19,13:25:00,EST,,,,,,,,STATUS - GROUND WATER,NORTHWEST FLORIDA WATER MANAGEMENT DISTRICT,21FLGW_WQX-65511,,,,,Direct Grab,21FLGW_WQX,Direct Grab,Water Bottle,,Total Coliform,Total,5.2,MPN/100mL,,Final,,Actual,,,,,,,,,,,,,9223-B,APHA,9223 B ~ Enzyme substrate assay for measuring total coliforms and E. coli (ONPG-MUG test or CPRG-MUG test),https://www.nemi.gov/methods/method_summary/5583/,E31780,2024-12-20,,Practical Quantitation Limit,1,MPN/100mL,,STORET
21FLGW_WQX,FL Dept. of Environmental Protection,21FLGW_WQX-Z1UA2410-23S,Sample-Routine,Water,Groundwater,2024-12-19,13:25:00,EST,2024-12-19,13:25:00,EST,,,,,,,,STATUS - GROUND WATER,NORTHWEST FLORIDA WATER MANAGEMENT DISTRICT,21FLGW_WQX-65511,,,,,Direct Grab,21FLGW_WQX,Direct Grab,Water Bottle,,Thallium,Total,0.10,ug/L,,Final,,Actual,,,,,,**U**,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,E31780,2025-01-02,,Practical Quantitation Limit,.4,ug/L,,STORET
21FLGW_WQX,FL Dept. of Environmental Protection,21FLGW_WQX-Z1UA2410-23S,Sample-Routine,Water,Groundwater,2024-12-19,13:25:00,EST,2024-12-19,13:25:00,EST,,,,,,,,STATUS - GROUND WATER,NORTHWEST FLORIDA WATER MANAGEMENT DISTRICT,21FLGW_WQX-65511,,,,,Direct Grab,21FLGW_WQX,Direct Grab,Water Bottle,,Specific conductance,,178,uS/cm,,Final,,Actual,,,,,,,,,,,,,120.1,USEPA,Conductance,https://www.nemi.gov/methods/method_summary/5210/,E31780,2024-12-28,,Practical Quantitation Limit,8,uS/cm,,STORET
21FLGW_WQX,FL Dept. of Environmental Protection,21FLGW_WQX-Z1UA2410-23S,Sample-Routine,Water,Groundwater,2024-12-19,13:25:00,EST,2024-12-19,13:25:00,EST,,,,,,,,STATUS - GROUND WATER,NORTHWEST FLORIDA WATER MANAGEMENT DISTRICT,21FLGW_WQX-65511,,,,,Direct Grab,21FLGW_WQX,Direct Grab,Water Bottle,,Lead,Total,0.20,ug/L,,Final,,Actual,,,,,,**U**,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,E31780,2025-01-02,,Practical Quantitation Limit,.4,ug/L,,STORET
