OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
21FLTLHR_WQX,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016-02/24/25,Sample-Routine,Water,Surface Water,2025-02-24,12:20:00,EST,2025-02-24,12:20:00,EST,.3,m,,,,,,SMP,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016,,,,,Direct Grab,21FLTLHR_WQX,Direct Grab,Water Bottle,,Pheophytin a,Total,1.4,ug/L,,Final,,Actual,,,,,,**I**Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,,,,,,,10200-H,APHA,10200 H ~ Chlorophyll a-b-c Determination,,E31780,2025-02-26,,Practical Quantitation Limit,3,ug/L,,STORET
21FLTLHR_WQX,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016-02/24/25-FP1,Field Msr/Obs,Water,Surface Water,2025-02-24,12:20:00,EST,2025-02-24,12:20:00,EST,.3,m,,,,,,SMP,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016,,,,,Field Test-Discrete,21FLTLHR_WQX,Field Testing- Discrete,Miscellaneous (Other),,"Temperature, water",,12.6,deg C,,Final,,Actual,,,,,,,,,,,,,FDEP FT1400,21FLTLHR_WQX,FDEP FT1400,,,,,,,,,STORET
21FLTLHR_WQX,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016-02/24/25,Sample-Routine,Water,Surface Water,2025-02-24,12:20:00,EST,2025-02-24,12:20:00,EST,.3,m,,,,,,SMP,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016,,,,,Direct Grab,21FLTLHR_WQX,Direct Grab,Water Bottle,,Fluoride,Total,0.035,mg/L,,Final,,Actual,,,,,,**I**Batch matrix spike recoveries are unavailable because of high analyte concentration in the QC sample.,,,,,,,4500-F-C,APHA,4500 F C ~ Fluoride in Water Using an ISE,https://www.nemi.gov/methods/method_summary/5709/,E31780,2025-02-26,,Practical Quantitation Limit,.1,mg/L,,STORET
21FLTLHR_WQX,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016-02/24/25-FP1,Field Msr/Obs,Water,Surface Water,2025-02-24,12:20:00,EST,2025-02-24,12:20:00,EST,.3,m,,,,,,SMP,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016,,,,,Field Test-Discrete,21FLTLHR_WQX,Field Testing- Discrete,Miscellaneous (Other),,"Depth, Secchi disk depth",,0.6,m,,Final,,Actual,,,,,,**S**,,,,,,,FDEP FT1700,21FLTLHR_WQX,FDEP FT1700,,,,,,,,,STORET
21FLTLHR_WQX,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016-02/24/25-FP1,Field Msr/Obs,Water,Surface Water,2025-02-24,12:20:00,EST,2025-02-24,12:20:00,EST,.3,m,,,,,,SMP,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016,,,,,Field Test-Discrete,21FLTLHR_WQX,Field Testing- Discrete,Miscellaneous (Other),,Specific conductance,,180,umho/cm,,Final,,Actual,,,,,,,,,,,,,FDEP FT1200,21FLTLHR_WQX,FDEP FT1200,,,,,,,,,STORET
21FLTLHR_WQX,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016-02/24/25,Sample-Routine,Water,Surface Water,2025-02-24,12:20:00,EST,2025-02-24,12:20:00,EST,.3,m,,,,,,SMP,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016,,,,,Direct Grab,21FLTLHR_WQX,Direct Grab,Water Bottle,,True color,,29,PCU,,Final,,Actual,,,,,,,,,,,,,110.2,USEPA,Color Analysis Using Platinum/Cobalt,https://www.nemi.gov/methods/method_summary/5208/,E31780,2025-02-25,,Practical Quantitation Limit,6,PCU,,STORET
21FLTLHR_WQX,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016-02/24/25,Sample-Routine,Water,Surface Water,2025-02-24,12:20:00,EST,2025-02-24,12:20:00,EST,.3,m,,,,,,SMP,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016,,,,,Direct Grab,21FLTLHR_WQX,Direct Grab,Water Bottle,,Nitrate + Nitrite,Total,0.89,mg/L,,Final,,Actual,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,https://www.nemi.gov/methods/method_summary/4702/,E31780,2025-03-03,,Practical Quantitation Limit,.02,mg/L,,STORET
21FLTLHR_WQX,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016-02/24/25-FP1,Field Msr/Obs,Water,Surface Water,2025-02-24,12:20:00,EST,2025-02-24,12:20:00,EST,.3,m,,,,,,SMP,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016,,,,,Field Test-Discrete,21FLTLHR_WQX,Field Testing- Discrete,Miscellaneous (Other),,pH,,7.46,None,,Final,,Actual,,,,,,,,,,,,,FDEP FT1100,21FLTLHR_WQX,FDEP FT1100,,,,,,,,,STORET
21FLTLHR_WQX,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016-02/24/25,Sample-Routine,Water,Surface Water,2025-02-24,12:20:00,EST,2025-02-24,12:20:00,EST,.3,m,,,,,,SMP,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016,,,,,Direct Grab,21FLTLHR_WQX,Direct Grab,Water Bottle,,Chloride,Total,6.6,mg/L,,Final,,Actual,,,,,,,,,,,,,300.0,USEPA,300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,https://www.nemi.gov/methods/method_summary/4680/,E31780,2025-03-01,,Practical Quantitation Limit,.5,mg/L,,STORET
21FLTLHR_WQX,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016-02/24/25,Sample-Routine,Water,Surface Water,2025-02-24,12:20:00,EST,2025-02-24,12:20:00,EST,.3,m,,,,,,SMP,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,21FLTLHR_WQX-G2TLHR0016,,,,,Direct Grab,21FLTLHR_WQX,Direct Grab,Water Bottle,,Turbidity,,11,NTU,,Final,,Actual,,,,,,,,,,,,,180.1,USEPA,Turbidity by Nephelometry,https://www.nemi.gov/methods/method_summary/5217/,E31780,2025-02-25,,Practical Quantitation Limit,1,NTU,,STORET
