OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
21FLWQSP_WQX,"FDEP, Water Quality Standards and Special Projects (Florida)",21FLWQSP_WQX-CHIPOLA REF-10/25/23,Sample-Routine,Water,Surface Water,2023-10-25,10:40:00,EST,2023-10-25,10:40:00,EST,.1,m,,,,,,SCIREF,FDEP WATER QUALITY STANDARDS PROGRAM,21FLWQSP_WQX-31020012,,,,,Direct Grab,21FLWQSP_WQX,Direct Grab,Water Bottle,,Pendimethalin,Total,1.8,ng/L,,Final,,Actual,,,,,,**U**MS accuracy for some parameters not assessed due to high content of these parameters in the sample spiked.  Refer to the Lab Analysis Report for an explanation of QC Codes.,,,,,,,EPA 8270,21FLWQSP_WQX,EPA 8270,,E31780,2023-11-02,,Practical Quantitation Limit,9.2,ng/L,,STORET
21FLWQSP_WQX,"FDEP, Water Quality Standards and Special Projects (Florida)",21FLWQSP_WQX-CHIPOLA REF-10/25/23,Sample-Routine,Water,Surface Water,2023-10-25,10:40:00,EST,2023-10-25,10:40:00,EST,.1,m,,,,,,SCIREF,FDEP WATER QUALITY STANDARDS PROGRAM,21FLWQSP_WQX-31020012,,,,,Direct Grab,21FLWQSP_WQX,Direct Grab,Water Bottle,,Silver,Total,0.01,ug/L,,Final,,Actual,,,,,,**U**,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,https://www.nemi.gov/methods/method_summary/4665/,E31780,2023-11-01,,Practical Quantitation Limit,.04,ug/L,,STORET
21FLWQSP_WQX,"FDEP, Water Quality Standards and Special Projects (Florida)",21FLWQSP_WQX-CHIPOLA REF-10/25/23,Sample-Routine,Water,Surface Water,2023-10-25,10:40:00,EST,2023-10-25,10:40:00,EST,.1,m,,,,,,SCIREF,FDEP WATER QUALITY STANDARDS PROGRAM,21FLWQSP_WQX-31020012,,,,,Direct Grab,21FLWQSP_WQX,Direct Grab,Water Bottle,,Linuron,Total,0.004,ug/L,,Final,,Actual,,,,,,**U**,,,,,,,8321,USEPA,Non-Volatile Compounds by HPLC,,E31780,2023-10-31,,Practical Quantitation Limit,.016,ug/L,,STORET
21FLWQSP_WQX,"FDEP, Water Quality Standards and Special Projects (Florida)",21FLWQSP_WQX-CHIPOLA REF-10/25/23,Sample-Routine,Water,Surface Water,2023-10-25,10:40:00,EST,2023-10-25,10:40:00,EST,.1,m,,,,,,SCIREF,FDEP WATER QUALITY STANDARDS PROGRAM,21FLWQSP_WQX-31020012,,,,,Direct Grab,21FLWQSP_WQX,Direct Grab,Water Bottle,,Simazine,Total,0.27,ng/L,,Final,,Actual,,,,,,**U**MS accuracy for some parameters not assessed due to high content of these parameters in the sample spiked.  Refer to the Lab Analysis Report for an explanation of QC Codes.,,,,,,,EPA 8270,21FLWQSP_WQX,EPA 8270,,E31780,2023-11-02,,Practical Quantitation Limit,1.3,ng/L,,STORET
21FLWQSP_WQX,"FDEP, Water Quality Standards and Special Projects (Florida)",21FLWQSP_WQX-CHIPOLA REF-10/25/23,Sample-Routine,Water,Surface Water,2023-10-25,10:40:00,EST,2023-10-25,10:40:00,EST,.1,m,,,,,,SCIREF,FDEP WATER QUALITY STANDARDS PROGRAM,21FLWQSP_WQX-31020012,,,,,Direct Grab,21FLWQSP_WQX,Direct Grab,Water Bottle,,Metribuzin,Total,0.43,ng/L,,Final,,Actual,,,,,,**U**MS accuracy for some parameters not assessed due to high content of these parameters in the sample spiked.  Refer to the Lab Analysis Report for an explanation of QC Codes.,,,,,,,EPA 8270,21FLWQSP_WQX,EPA 8270,,E31780,2023-11-02,,Practical Quantitation Limit,2.2,ng/L,,STORET
21FLWQSP_WQX,"FDEP, Water Quality Standards and Special Projects (Florida)",21FLWQSP_WQX-CHIPOLA REF-10/25/23,Sample-Routine,Water,Surface Water,2023-10-25,10:40:00,EST,2023-10-25,10:40:00,EST,.1,m,,,,,,SCIREF,FDEP WATER QUALITY STANDARDS PROGRAM,21FLWQSP_WQX-31020012,,,,,Direct Grab,21FLWQSP_WQX,Direct Grab,Water Bottle,,Hydrocodone,Total,0.002,ug/L,,Final,,Actual,,,,,,**U**,,,,,,,8321,USEPA,Non-Volatile Compounds by HPLC,,E31780,2023-10-31,,Practical Quantitation Limit,.008,ug/L,,STORET
21FLWQSP_WQX,"FDEP, Water Quality Standards and Special Projects (Florida)",21FLWQSP_WQX-CHIPOLA REF-10/25/23,Sample-Routine,Water,Surface Water,2023-10-25,10:40:00,EST,2023-10-25,10:40:00,EST,.1,m,,,,,,SCIREF,FDEP WATER QUALITY STANDARDS PROGRAM,21FLWQSP_WQX-31020012,,,,,Direct Grab,21FLWQSP_WQX,Direct Grab,Water Bottle,,Demeton,Total,3.8,ng/L,,Final,,Actual,,,,,,**U**MS accuracy for some parameters not assessed due to high content of these parameters in the sample spiked.  Refer to the Lab Analysis Report for an explanation of QC Codes.,,,,,,,EPA 8270,21FLWQSP_WQX,EPA 8270,,E31780,2023-11-02,,Practical Quantitation Limit,19,ng/L,,STORET
21FLWQSP_WQX,"FDEP, Water Quality Standards and Special Projects (Florida)",21FLWQSP_WQX-CHIPOLA REF-10/25/23,Sample-Routine,Water,Surface Water,2023-10-25,10:40:00,EST,2023-10-25,10:40:00,EST,.1,m,,,,,,SCIREF,FDEP WATER QUALITY STANDARDS PROGRAM,21FLWQSP_WQX-31020012,,,,,Direct Grab,21FLWQSP_WQX,Direct Grab,Water Bottle,,Imazalil,Total,0.7,ng/L,,Final,,Actual,,,,,,**U**MS accuracy for some parameters not assessed due to high content of these parameters in the sample spiked.  Refer to the Lab Analysis Report for an explanation of QC Codes.,,,,,,,EPA 8270,21FLWQSP_WQX,EPA 8270,,E31780,2023-11-02,,Practical Quantitation Limit,3.5,ng/L,,STORET
21FLWQSP_WQX,"FDEP, Water Quality Standards and Special Projects (Florida)",21FLWQSP_WQX-CHIPOLA REF-10/25/23,Sample-Routine,Water,Surface Water,2023-10-25,10:40:00,EST,2023-10-25,10:40:00,EST,.1,m,,,,,,SCIREF,FDEP WATER QUALITY STANDARDS PROGRAM,21FLWQSP_WQX-31020012,,,,,Direct Grab,21FLWQSP_WQX,Direct Grab,Water Bottle,,Octinoxate,Total,160,ng/L,,Final,,Actual,,,,,,**U**Refer to the Lab Analysis Report for an explanation of QC Codes.,,,,,,,EPA 8270,21FLWQSP_WQX,EPA 8270,,E31780,2023-11-01,,Practical Quantitation Limit,480,ng/L,,STORET
21FLWQSP_WQX,"FDEP, Water Quality Standards and Special Projects (Florida)",21FLWQSP_WQX-CHIPOLA REF-10/25/23,Sample-Routine,Water,Surface Water,2023-10-25,10:40:00,EST,2023-10-25,10:40:00,EST,.1,m,,,,,,SCIREF,FDEP WATER QUALITY STANDARDS PROGRAM,21FLWQSP_WQX-31020012,,,,,Direct Grab,21FLWQSP_WQX,Direct Grab,Water Bottle,,Propanil,Total,0.11,ng/L,,Final,,Actual,,,,,,**U**MS accuracy for some parameters not assessed due to high content of these parameters in the sample spiked.  Refer to the Lab Analysis Report for an explanation of QC Codes.,,,,,,,EPA 8270,21FLWQSP_WQX,EPA 8270,,E31780,2023-11-02,,Practical Quantitation Limit,.54,ng/L,,STORET
