"FACILITY/SITE ID","FACILITY/SITE NAME","FACILITY/SITE ADDRESS","CITY","COUNTY","DISTRICT","DOCUMENT DATE","DATE RECEIVED","DOCUMENT TYPE","SUBJECT","PERMIT NUMBER","FILE TYPE","FILE SIZE","FILE PATH"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","08-31-2026","08-31-2026","MONITORING PLANS AND REPORTS RELATED","WETLAND SEVERANCE MONITORING","0173508003EI",".pdf","575.4 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.120142.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","08-17-2026","08-17-2026","MONITORING PLANS AND REPORTS RELATED","WETLAND SEVERANCE MONITORING","0173508003EI",".pdf","673.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.119985.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","07-23-2026","07-23-2026","REQUEST FOR ADDITIONAL INFORMATION","RAI#2 FOR ERP APPLICATION","",".pdf","519.9 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.119804.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","07-17-2026","07-17-2026","MONITORING PLANS AND REPORTS RELATED","WETLAND SEVERANCE MONITORING","0173508003EI",".pdf","574.9 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.119753.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","07-10-2026","07-10-2026","MONITORING PLANS AND REPORTS RELATED","WETLAND SEVERANCE MONITORING","0173508003EI",".pdf","761.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.119597.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","06-25-2026","06-25-2026","MONITORING PLANS AND REPORTS RELATED","WETLAND SEVERANCE MONITORING","0173508003EI",".pdf","1.2 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.119500.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","06-19-2026","06-19-2026","PERMIT APPLICATION RELATED","RESPONSE TO RAI#1","",".zip","194.7 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.119439.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","06-19-2026","06-19-2026","PERMIT APPLICATION RELATED","EHG WORK REQUEST","",".doc","58.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.119440.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","06-10-2026","06-10-2026","MONITORING PLANS AND REPORTS RELATED","WETLAND SEVERANCE MONITORING","0173508003EI",".pdf","519.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.119273.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","06-10-2026","06-10-2026","MEETING RELATED","MEETING TO DISCUSS DRAFT RESPONSE TO RAI#1","",".pdf","204.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.119272.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","06-01-2026","06-01-2026","MONITORING PLANS AND REPORTS RELATED","WETLAND SEVERANCE MONITORING","0173508003EI",".pdf","512.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.119119.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","05-22-2026","05-22-2026","MONITORING PLANS AND REPORTS RELATED","WETLAND SEVERANCE MONITORING","0173508003EI",".pdf","560.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.119053.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","05-12-2026","05-12-2026","MONITORING PLANS AND REPORTS RELATED","WETLAND SEVERANCE MONITORING","0173508003EI",".pdf","4.9 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.118851.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","05-12-2026","05-12-2026","MEETING RELATED","MEETING TO DISCUSS INCOMPLETE LETTER DATED MARCH 20, 2026","",".pdf","164.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.118848.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","04-29-2026","04-29-2026","INSPECTION RELATED","MARCH 17, 2026 INSPECTION REPORT","0173508003EI",".pdf","7.2 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.118704.1"
