"FACILITY/SITE ID","FACILITY/SITE NAME","FACILITY/SITE ADDRESS","CITY","COUNTY","DISTRICT","DOCUMENT DATE","DATE RECEIVED","DOCUMENT TYPE","SUBJECT","PERMIT NUMBER","FILE TYPE","FILE SIZE","FILE PATH"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","07-01-2026","08-14-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 JUL MO PART B (867059)","",".xlsx","13.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1522091.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","07-01-2026","08-14-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 JUL MO PART A (867059) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1522092.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","06-01-2026","07-09-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 JUN MO PART B (863826)","",".xlsx","13.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1515630.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","06-01-2026","07-09-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 JUN MO PART A (863826) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1515629.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","05-01-2026","06-09-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 MAY MO PART B (861457)","",".xlsx","13.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1505219.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","05-01-2026","06-09-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 MAY MO PART A (861457) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1505218.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","04-01-2026","05-12-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 APR MO PART B (857762)","",".xlsx","13.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1498124.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","04-01-2026","05-12-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 APR MO PART A (857762) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1498123.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","03-01-2026","04-22-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 MAR MO PART B (852580)","",".xlsx","13.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1490921.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","03-01-2026","04-22-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 MAR MO PART A (852580) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1490920.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","02-01-2026","03-12-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 FEB MO PART B (849127)","",".xlsx","13.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1482542.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","02-01-2026","03-12-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 FEB MO PART A (849127) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1482541.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","01-01-2026","02-24-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 JAN MO PART B (843739)","",".xlsx","13.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1473310.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","01-01-2026","02-24-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2026 JAN MO PART A (843739) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1473311.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","12-01-2025","01-16-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 DEC MO PART B (841014)","",".xlsx","12.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1463403.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","12-01-2025","01-16-2026","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 DEC MO PART A (841014) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1463404.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","11-01-2025","12-12-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 NOV MO PART B (838902)","",".xlsx","13.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1453488.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","11-01-2025","12-12-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 NOV MO PART A (838902) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1453489.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","10-01-2025","11-14-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 OCT MO PART B (834600)","",".xlsx","13.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1444240.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","10-01-2025","11-14-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 OCT MO PART A (834600) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1444241.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","09-01-2025","10-24-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 SEP MO PART B (832498)","",".xlsx","13.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1438308.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","09-01-2025","10-24-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 SEP MO PART A (832498) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1438309.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","08-01-2025","09-11-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 AUG MO PART B (829727)","",".xlsx","13.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1429734.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","08-01-2025","09-11-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 AUG MO PART A (829727) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1429735.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","07-01-2025","08-26-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 JUL MO PART B (825915)","",".xlsx","13.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1421696.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","07-01-2025","08-26-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 JUL MO PART A (825915) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1421695.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","06-01-2025","07-21-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 JUN MO PART B (824282)","",".xlsx","13.3 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1411438.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","06-01-2025","07-21-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 JUN MO PART A (824282) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1411437.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","05-01-2025","06-09-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 MAY MO PART B (821460)","",".xlsx","13.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1403272.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","05-01-2025","06-09-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 MAY MO PART A (821460) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1403273.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","04-01-2025","05-01-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 APR MO PART B (818196)","",".xlsx","13.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1394411.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","04-01-2025","05-01-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 APR MO PART A (818196) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1394412.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","03-01-2025","04-16-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 MAR MO PART B (810772)","",".xlsx","13.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1385604.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","03-01-2025","04-16-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 MAR MO PART A (810772) D-001 D-002","",".pdf","52.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1385605.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","02-01-2025","03-27-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 FEB MO PART B (807914)","",".xlsx","13.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1380105.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","02-01-2025","03-27-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 FEB MO PART A (807914) D-001 D-002","",".pdf","51.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1380104.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","01-01-2025","02-26-2025","DISCHARGE MONITORING REPORTS RELATED","DMR 2025 JAN MO PART B (802077)","",".xlsx","13.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1372081.1"
