"FACILITY/SITE ID","FACILITY/SITE NAME","FACILITY/SITE ADDRESS","CITY","COUNTY","DISTRICT","DOCUMENT DATE","DATE RECEIVED","DOCUMENT TYPE","SUBJECT","PERMIT NUMBER","FILE TYPE","FILE SIZE","FILE PATH"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","12-15-2022","01-10-2023","MONITORING - ANALYTICAL RELATED","DMR Q4 12/15/2022 PR TSS RESULTS (3666)","",".pdf","284.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.490009.1"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","12-15-2022","01-10-2023","MONITORING - ANALYTICAL RELATED","DMR Q4 12/15/2022 PR ANALYTICAL (3666) D-001","",".pdf","6.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.490010.1"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","10-21-2022","10-21-2022","MODIFICATION RELATED","NOC & ACK PACKAGE","",".pdf","2.0 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.486806.1"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","08-10-2022","11-23-2022","MONITORING - ANALYTICAL RELATED","DMR Q3 08/10/2022 PR TSS RESULTS (3666)","",".pdf","26.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.490007.1"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","08-10-2022","11-23-2022","MONITORING - ANALYTICAL RELATED","DMR Q3 08/10/2022 PR ANALYTICAL (3666) D-001","",".pdf","6.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.490008.1"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","04-26-2022","11-23-2022","MONITORING - ANALYTICAL RELATED","DMR Q2 04/26/2022 PR TSS RESULTS (3666)","",".pdf","24.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.490005.1"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","04-26-2022","11-23-2022","MONITORING - ANALYTICAL RELATED","DMR Q2 04/26/2022 PR ANALYTICAL (3666) D-001","",".pdf","6.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.490006.1"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","01-10-2022","11-23-2022","MONITORING - ANALYTICAL RELATED","DMR Q1 01/10/2022 PR TSS RESULTS (3666)","",".pdf","24.3 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.490003.1"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","01-10-2022","11-23-2022","MONITORING - ANALYTICAL RELATED","DMR Q1 01/10/2022 PR ANALYTICAL (3666) D-001","",".pdf","6.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.490004.1"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","01-01-2022","01-10-2023","QA-LETTER","QA LETTER FOR DMR 2022 YR ANALYTICAL (3666) D-001","",".pdf","36.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.490011.1"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","01-01-2022","01-10-2023","MONITORING - ANALYTICAL RELATED","DMR 2022 YR ANALYTICAL (3666) D-001","",".pdf","5.4 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.490002.1"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","12-10-2021","12-13-2021","PERMIT APPLICATION RELATED","NOI FOR 001","FLR05I752001MSP",".pdf","284.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.461326.1"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","12-10-2021","12-13-2021","PERMIT - ISSUED - DENIED - TERMINATED RELATED","SIGNATORY DELEGATION FOR 001","FLR05I752001MSP",".pdf","885.4 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.461328.1"
"FLR05I752","NORTH FLORIDA ROCK LLC","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","12-10-2021","12-13-2021","PERMIT - ISSUED - DENIED - TERMINATED RELATED","AL FOR 001","FLR05I752001MSP",".pdf","60.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/29.461327.1"
